service_id,date,exception_type
4528,20260702,1
4528,20260703,1
4528,20260706,1
4528,20260707,1
4528,20260708,1
4528,20260709,1
4528,20260710,1
4528,20260713,1
4528,20260714,1
4528,20260715,1
4528,20260716,1
4528,20260717,1
4528,20260720,1
4528,20260721,1
4528,20260722,1
4528,20260723,1
4528,20260724,1
4528,20260727,1
4528,20260728,1
4528,20260729,1
4528,20260730,1
4528,20260731,1
4528,20260804,1
4528,20260805,1
4528,20260806,1
4528,20260807,1
4528,20260810,1
4528,20260811,1
4528,20260812,1
4528,20260813,1
4528,20260814,1
4528,20260817,1
4528,20260818,1
4528,20260819,1
4528,20260820,1
4528,20260821,1
4528,20260824,1
4528,20260825,1
4528,20260826,1
4528,20260827,1
4528,20260828,1
4528,20260831,1
4528,20260901,1
4528,20260902,1
4528,20260903,1
4528,20260904,1
5272,20260705,1
5272,20260712,1
5272,20260719,1
5272,20260726,1
5272,20260802,1
5272,20260803,1
5272,20260809,1
5272,20260816,1
5272,20260823,1
5272,20260830,1
5282,20260704,1
5282,20260711,1
5282,20260718,1
5282,20260725,1
5282,20260801,1
5282,20260808,1
5282,20260815,1
5282,20260822,1
5282,20260829,1
5282,20260905,1
